C:\DRS_Java\TestArea\Java_Performance\test>rtime java -jar target\benchmarks.jar
# Warmup Iteration  17: 1373721069,729 ops/s
# Warmup Iteration  18: 1457078467,435 ops/s
# Warmup Iteration  19: 1394123184,560 ops/s
# Warmup Iteration  20: 1408260186,960 ops/s
Iteration   1: 1438686850,044 ops/s
Iteration   2: 1414903467,331 ops/s
Iteration   3: 1381457528,855 ops/s
Iteration   4: 1407944566,440 ops/s
Iteration   5: 1294334907,139 ops/s
Iteration   6: 1405107493,328 ops/s
Iteration   7: 1431767934,348 ops/s
Iteration   8: 1429194925,317 ops/s
Iteration   9: 1327532042,190 ops/s
Iteration  10: 1332722851,662 ops/s
Iteration  11: 1405382350,505 ops/s
Iteration  12: 1399701073,602 ops/s
Iteration  13: 1259933260,263 ops/s
Iteration  14: 1265501191,096 ops/s
Iteration  15: 1417459184,259 ops/s
Iteration  16: 1407814400,474 ops/s
Iteration  17: 1428290363,992 ops/s
Iteration  18: 1408328568,094 ops/s
Iteration  19: 1457987527,946 ops/s
Iteration  20: 1435521058,575 ops/s

# Run progress: 80,00% complete, ETA 00:01:34
# Fork: 9 of 10
# Warmup Iteration   1: 1440568071,481 ops/s
# Warmup Iteration   2: 1425349322,718 ops/s
# Warmup Iteration   3: 1413829250,731 ops/s
# Warmup Iteration   4: 1435295462,789 ops/s
# Warmup Iteration   5: 1408592458,278 ops/s
# Warmup Iteration   6: 1438525513,345 ops/s
# Warmup Iteration   7: 1404126303,655 ops/s
# Warmup Iteration   8: 1459130243,827 ops/s
# Warmup Iteration   9: 1401326838,173 ops/s
# Warmup Iteration  10: 1328168768,082 ops/s
# Warmup Iteration  11: 1219964352,510 ops/s
# Warmup Iteration  12: 1466888872,044 ops/s
# Warmup Iteration  13: 1424246631,235 ops/s
# Warmup Iteration  14: 1458747552,217 ops/s
# Warmup Iteration  15: 1385296378,327 ops/s
# Warmup Iteration  16: 1393060822,925 ops/s
# Warmup Iteration  17: 1404002946,121 ops/s
# Warmup Iteration  18: 1409534894,635 ops/s
# Warmup Iteration  19: 1337913165,656 ops/s
# Warmup Iteration  20: 1401429427,236 ops/s
Iteration   1: 1372848284,847 ops/s
Iteration   2: 1391651894,963 ops/s
Iteration   3: 1378358035,676 ops/s
Iteration   4: 1422506080,978 ops/s
Iteration   5: 1413639686,138 ops/s
Iteration   6: 1415862359,886 ops/s
Iteration   7: 1431589048,936 ops/s
Iteration   8: 1440800461,469 ops/s
Iteration   9: 1422630759,246 ops/s
Iteration  10: 1473642276,906 ops/s
Iteration  11: 1419465282,163 ops/s
Iteration  12: 1361901938,605 ops/s
Iteration  13: 1441737553,840 ops/s
Iteration  14: 1387245677,862 ops/s
Iteration  15: 1424565839,254 ops/s
Iteration  16: 1469220953,327 ops/s
Iteration  17: 1405265896,650 ops/s
Iteration  18: 1440970823,766 ops/s
Iteration  19: 1444649136,381 ops/s
Iteration  20: 1390975934,769 ops/s

# Run progress: 90,00% complete, ETA 00:00:48
# Fork: 10 of 10
# Warmup Iteration   1: 1387735854,009 ops/s
# Warmup Iteration   2: 1379534674,757 ops/s
# Warmup Iteration   3: 1467224432,579 ops/s
# Warmup Iteration   4: 1332560655,792 ops/s
# Warmup Iteration   5: 1211969000,297 ops/s
# Warmup Iteration   6: 1389148228,548 ops/s
# Warmup Iteration   7: 1411405264,928 ops/s
# Warmup Iteration   8: 1372304981,040 ops/s
# Warmup Iteration   9: 1225688845,990 ops/s
# Warmup Iteration  10: 1369226320,106 ops/s
# Warmup Iteration  11: 1317436413,310 ops/s
# Warmup Iteration  12: 1249800010,524 ops/s
# Warmup Iteration  13: 1329290736,049 ops/s
# Warmup Iteration  14: 1351301853,662 ops/s
# Warmup Iteration  15: 1373353880,483 ops/s
# Warmup Iteration  16: 1418866028,975 ops/s
# Warmup Iteration  17: 1469157436,094 ops/s
# Warmup Iteration  18: 1412165644,839 ops/s
# Warmup Iteration  19: 1447995911,036 ops/s
# Warmup Iteration  20: 1418629225,467 ops/s
Iteration   1: 1396684970,884 ops/s
Iteration   2: 1420396333,739 ops/s
Iteration   3: 1467921822,699 ops/s
Iteration   4: 1375076250,890 ops/s
Iteration   5: 1344189469,225 ops/s
Iteration   6: 1374192438,437 ops/s
Iteration   7: 1388620610,245 ops/s
Iteration   8: 1438365899,222 ops/s
Iteration   9: 1408621522,155 ops/s
Iteration  10: 1445786626,176 ops/s
Iteration  11: 1443727202,643 ops/s
Iteration  12: 1434627304,032 ops/s
Iteration  13: 1430792255,848 ops/s
Iteration  14: 1438304825,641 ops/s
Iteration  15: 1435656587,188 ops/s
Iteration  16: 1388120368,132 ops/s
Iteration  17: 1453129587,142 ops/s
Iteration  18: 1400440974,399 ops/s
Iteration  19: 1421034476,490 ops/s
Iteration  20: 1443310965,890 ops/s


Result: 1394432908,605 ▒(99.9%) 21289372,508 ops/s [Average]
  Statistics: (min, avg, max) = (876512662,786, 1394432908,605, 1488260104,184), stdev = 90140536,26
  Confidence interval (99.9%): [1373143536,097, 1415722281,112]


# Run complete. Total time: 00:08:02

Benchmark                      Mode  Samples           Score   Score error  Units
o.s.MyBenchmark.testMethod    thrpt      200  1394432908,605  21289372,508  ops/s
Took: 0:08:03

C:\DRS_Java\TestArea\Java_Performance\test>
